# {"t_start": 1604712404.5037315, "env_id": "CartpoleSwingShort-v0"} 
r,l,t
9535.18533,10000,1804.435118
9464.380307,10000,1811.229821
9534.219761,10000,1817.632496
9315.873614,10000,1824.144196
9488.944405,10000,1830.932185
9424.212619,10000,1838.506909
9551.006574,10000,1846.069023
9543.479084,10000,1852.606074
9541.754175,10000,1860.808916
9578.535737,10000,1867.711677
9524.701902,10000,1874.153629
9477.631186,10000,1882.676084
9502.372336,10000,1892.625909
9492.421817,10000,1899.176061
9480.172617,10000,1907.198735
9435.056869,10000,1915.197456
9435.830184,10000,1922.711509
9466.783457,10000,1928.951576
9461.397409,10000,1935.287038
9436.285692,10000,1941.6424
9550.974765,10000,1948.451654
9530.803671,10000,1954.875524
9505.081374,10000,1960.958276
9483.496013,10000,1967.324795
9493.940964,10000,1973.90816
9473.578118,10000,1980.42122
9767.182446,10000,1988.902721
9471.597013,10000,1995.498626
9474.655909,10000,2002.108978
9509.346646,10000,2009.074316
9613.832416,10000,2015.235837
9668.283031,10000,2021.868097
9587.482434,10000,2030.589501
9574.428328,10000,2036.762521
9620.46671,10000,2043.748835
9679.275827,10000,2050.683795
9577.026535,10000,2058.055598
9574.876763,10000,2064.782152
9575.317159,10000,2071.443404
9589.403974,10000,2077.700567
9581.866409,10000,2084.022656
9580.639799,10000,2092.50761
9595.64543,10000,2098.74393
9601.78634,10000,2105.181753
9584.155311,10000,2111.685316
9566.881901,10000,2118.513053
9576.598664,10000,2126.556541
9616.849576,10000,2133.160876
9639.873436,10000,2142.005219
9594.743534,10000,2149.014977
9572.952836,10000,2157.266906
9577.177157,10000,2164.682075
9580.92384,10000,2171.821976
9879.70997,10000,2178.976401
9591.929599,10000,2186.614972
9641.50975,10000,2193.581371
9573.343759,10000,2200.562665
9563.288504,10000,2207.682621
9563.061616,10000,2214.817538
9568.312824,10000,2221.859736
9551.852535,10000,2229.105323
9557.248822,10000,2236.484585
9572.401562,10000,2242.922368
9571.293755,10000,2249.861439
9559.709076,10000,2257.190804
9563.709067,10000,2264.322753
9594.804918,10000,2271.690022
9569.820528,10000,2278.928662
9571.712721,10000,2286.185252
9577.527561,10000,2293.472796
9590.401889,10000,2300.574765
9581.001812,10000,2307.629956
9597.563412,10000,2314.807756
9579.477861,10000,2321.854908
9602.445872,10000,2328.874176
9605.122526,10000,2335.827568
9612.617086,10000,2342.727083
9626.425631,10000,2350.206077
9739.506813,10000,2357.541966
9730.599335,10000,2364.394636
9584.964254,10000,2371.663023
9639.922624,10000,2380.101453
9635.529732,10000,2387.431846
9555.500975,10000,2395.268886
9543.8951,10000,2402.518495
9566.819874,10000,2409.747159
9566.550151,10000,2417.56824
9594.649742,10000,2424.782943
