episode,rewards,final reward,VL,PL*1e7
0,0.242789507,0.242789507,0.000298336,0.284194943
1,0.390987456,0.390987456,0.00014977,0.00333786
2,36.28058529,36.28058529,0.00014629,-0.129699709
3,12.3980999,12.3980999,0.000100159,0.081062321
4,51.64376956,48.10170162,0.000822739,0.072777273
5,4.956059217,6.548895001,2.83E-05,0.144600865
6,240.2197924,119.9597373,0.006456691,0.530958175
7,74.74002564,26.99861151,0.002357225,0.434100613
8,82.63037407,44.03341466,0.000620381,0.659182646
9,72.90778053,84.83944345,0.005024453,-0.176839539
10,143.5718593,146.6220091,0.003856727,-0.149130823
11,162.0553355,107.7944236,0.008610336,-0.353157503
12,138.7440122,69.85444474,0.016949243,0.086545944
13,139.5354192,118.0709113,0.007109584,0.003933907
14,126.7364126,135.4951087,0.003838876,-0.484764584
15,216.4016057,229.3106874,0.005296636,0.984191928
16,271.0055309,271.0055309,0.00378745,-0.575065613
17,283.5182485,283.5182485,0.008946294,0.958442712
18,260.7811345,260.7811345,0.011677525,-0.558853159
19,186.6290917,26.25552428,0.003378953,0.460505483
20,722.7342915,883.107859,0.048304763,0.741600985
21,493.1461027,493.1461027,0.040297709,0.128746036
22,665.4925485,665.4925485,0.025984477,0.385761254
23,511.3129267,511.3129267,0.049089328,0.087738039
24,538.400311,538.400311,0.009279569,0.45204164
25,663.440281,663.440281,0.068424031,0.144958499
26,676.6220209,676.6220209,0.013669858,-0.708580004
27,759.9129049,759.9129049,0.014187646,-0.599861139
28,906.3690226,906.3690226,0.025990179,-0.625610355
29,1021.944774,1021.944774,0.128611602,0.513076799
30,1121.732477,1121.732477,0.160718811,-0.978469856
31,1196.025479,1196.025479,0.231530439,0.070571899
32,952.1913753,952.1913753,0.031645661,0.450134294
33,1031.295714,1031.295714,0.052192688,0.320434559
34,1430.73768,1430.73768,0.376849683,-0.211715694
35,1619.488514,1619.488514,0.285513063,-0.179290769
36,1379.424057,1379.424057,0.351097369,0.017166137
37,1302.768834,1302.768834,0.066145222,-0.135421754
38,1276.599953,16.93028128,0.026876485,-0.094175343
39,1526.56364,2786.233311,0.251788215,-0.320434559
40,1592.172697,1592.172697,0.352452507,0.125885009
41,1259.851086,1259.851086,0.054994021,0.417709352
42,1168.168011,1168.168011,0.02604004,0.548362742
43,966.4204755,908.0166446,0.098759555,0.402867784
44,1282.926909,1341.33074,0.171984194,0.465393057
45,1370.506697,1370.506697,0.210943921,-0.062942505
46,2465.759737,2465.759736,0.27083147,1.151084916
47,2373.922697,2373.922697,0.109579014,-1.046657587
48,664.1516479,1.230168879,0.124666414,-0.044658779
49,1050.181853,948.2044342,0.238870868,-0.0885725
50,1460.845755,1131.47564,0.092144085,-1.048743741
51,714.1800534,0.967393398,0.080455026,0.098168851
52,561.4125846,0.361632526,0.016202543,0.02631545
53,668.1806051,1.540046155,0.013402965,0.129878517
54,21.79984939,1.473799586,0.00434394,-0.226259225
55,2248.291218,3.719628572,0.018577753,0.083923339
56,340.6616989,1.412637949,0.00675437,0.037476422
57,2434.175728,2760.456502,0.124178006,0.135421754
58,1407.454835,86.86773318,0.241420684,0.104695559
59,1029.541754,134.0784507,0.298685913,-0.119864945
60,1223.773928,195.6630865,0.533047852,0.254154209
61,1497.498357,654.8634958,0.345181122,-0.323355209
62,1472.587402,818.9110354,0.263035889,-0.189840801
63,1383.062428,322.5099114,0.286557906,-0.080496072
64,1340.785867,421.9526184,0.37843813,-0.380069025
65,1663.035618,445.1786019,0.275924817,0.073701143
66,2019.065433,1559.32157,0.329802645,-0.108182432
67,1758.383642,818.5384238,0.43699119,-0.311940909
68,3084.460148,3250.568169,0.213936476,0.226438051
69,1508.637138,360.0865492,0.423347056,0.275135044
70,1525.073285,509.1260509,0.449895965,-0.11655688
71,1834.147074,799.0520582,0.613303567,-0.05531311
72,1857.316257,546.3535797,0.39384437,0.284254558
73,1604.889854,685.8583893,0.562762914,0.385493024
74,2082.16418,991.6180111,0.360489679,0.278085466
75,2215.364411,874.9576163,0.292496666,0.331163399
76,2491.057759,1476.121082,0.084576857,0.028312206
77,2932.451409,2737.046095,0.358891723,0.044107438
78,2894.600553,3497.884949,0.483298802,-0.519692911
79,2653.859033,633.500032,0.691534394,-0.278532504
80,3097.62478,2423.973895,0.381006967,0.720500921
81,2769.447329,3355.168997,0.095580848,0.359773651
82,3264.708954,3322.904418,0.465649677,-0.325024132
83,2503.868455,1334.796804,0.362318784,0.243186946
84,2979.227187,1878.215732,0.06498217,0.312209139
85,3597.514604,4845.567984,0.643338117,-0.132262707
