episode,rewards,final reward,VL,PL*1e7
0,0.020525994910881806,0.0012987135976345598,0.00019265524702238014,-0.12227892476346369
1,0.12198367554689815,0.003016653216761256,9.948516291635453e-05,0.043481587219673656
2,0.21647558997191257,0.0005944664182209181,7.142048859430913e-05,0.07054209660850574
3,0.27770700891602573,0.006988635659249454,5.721966346432573e-05,-0.21198392374799369
4,0.3127917978802589,0.014937747793386413,3.172995613705915e-05,-0.09083747976035284
5,0.21856560145671314,0.0010343024108436794,2.8962167677111465e-05,0.1931190496406998
6,1.1907826117680465,0.021031961642050262,2.52986546450912e-05,-0.1221299150699906
7,1.3148854441781765,0.001991763327762186,2.417996029755988e-05,0.04088133387369908
8,0.7765213334360074,0.019610217640345484,1.6510922832131207e-05,0.04827603650170431
9,0.7329827260890311,0.03123566280906892,8.765125585341593e-06,-0.2624988582056176
10,1.472738046492145,0.03213174811513049,1.28638879790673e-05,-0.25004148085372435
11,1.340495100527397,0.030141683936315784,1.559701974621953e-05,0.015087425753179673
12,1.5122521591480766,0.0021623930836742744,1.3479721295695952e-05,0.04744529658040619
13,1.7679273278569136,0.03966346980611237,2.3259373375378943e-05,0.15199184133507515
14,2.1699641484937446,0.20955384945665229,4.1549051528346367e-05,0.07894635167815522
15,1.8079173269348296,0.014035912421196724,3.227867154801291e-05,-0.10934471994517025
16,1.2484845952968318,0.004841632930518203,1.3854476965725208e-05,0.026687980714257264
17,0.5572520567227567,0.0033080395963422937,1.0802611226136844e-05,0.06329082147260578
18,1.5901921517685105,0.0006601052823356213,2.7216657262894692e-05,-0.026337803049614195
19,1.7880418674417506,0.11607385866238096,2.6555204673473505e-05,0.1107603342376251
20,1.7701014414219642,0.00086956231373847,3.4731187958031216e-05,0.03108382218286465
21,2.72744445805954,0.13680547139843607,4.2230047152839644e-05,0.1466944787864577
22,4.639347114284901,0.09049460710847967,7.435318801509322e-05,-0.03740191267809223
23,6.166290122419525,0.30196443688596797,7.350862916276048e-05,0.199079508433897
24,7.653214925296856,0.22348128338961065,8.703899031756976e-05,-0.09316205584752879
25,9.34358374377656,0.2535437859191048,8.230685595168049e-05,-0.01919269632111309
26,10.189377946656379,0.17895106783113982,9.634065686959384e-05,0.4159510069712269
27,10.984876399203722,0.14907334986462895,8.288464020632643e-05,0.22283195733052708
28,13.215429457162822,0.39343249441640493,0.00012541060986902118,0.09334087280876702
29,14.756544898986848,0.38516138370198905,0.0001324557992511818,0.15205145587060542
30,14.718650182881658,0.43909680850236893,0.00010726398263786789,0.00020861624927537292
31,17.41396445660029,0.5168878627019557,0.0001631950300306235,0.08964538444899972
32,19.22619936904393,0.7764686546640419,0.0001760346590632667,0.23588537345631266
33,18.4454420495901,0.31376331341534,0.00020159829110997623,0.0021755695855940616
34,19.354448110195115,0.46098441248944716,0.0002239127032778556,0.2191662851203091
35,18.769434699829503,0.3388332876144717,0.00022656162165523848,0.08237361903695728
36,20.18177828215205,0.5715638988932136,0.00023916525868669482,-0.11777878228258487
37,22.77730730193783,0.48875823557185794,0.00024904301898447866,0.20417571633402076
38,23.007574307632414,0.9506036604329636,0.000210816569661698,0.07331371509877727
39,24.223473383807605,0.3948135636739834,0.00027265159956244397,0.07688998771016031
40,27.06389529108088,1.0347449424165935,0.0002705897852967057,0.09700656278255337
41,25.6324366653439,0.7385687216813118,0.0002924399448579319,0.2771485618779934
42,27.568461982800383,1.6194365942127629,0.0003683070649976453,-0.004768371808516747
43,27.591143831290054,1.8400964726709983,0.0003019293112226444,-0.21657347915038372
44,26.238331616444924,0.49289341946096116,0.0003499798041980572,0.14632940192882415
45,30.3499282310539,1.7061189808214137,0.0005429401710818086,0.04789233010171756
46,30.988177027480184,1.833736409416116,0.0004222473974009575,-0.08949637475552663
47,29.990761891645484,1.056013801612102,0.0005030163812091503,0.09506941012205061
48,32.79499695076916,2.2458419983169806,0.0005766661777647353,-0.06479024872163563
49,30.43095778993421,1.3138330678076073,0.0005073623003768204,-0.05854666085269855
50,34.53307872495532,1.8421279141312845,0.0007102416818696251,-0.24774671203431353
51,36.13248523322886,2.1247993309310793,0.0007532061957400528,0.18984080085715505
52,35.133296444197335,2.625672146397992,0.0007986516000620455,0.18543005353421904
53,36.103628130681024,0.5024231155636959,0.0009395795984081688,0.05014240578304907
54,35.4660122635125,2.0277662605234426,0.0008126918132169337,-0.15410780207503194
55,42.17306976728393,2.1703507942248543,0.0007722292213680082,-0.06642937755430012
56,39.86872311978194,3.0084435443248916,0.0008656276777516343,-0.03595650222010249
57,43.604953895029716,0.5366099125093527,0.0012489886566866898,-0.06777048255912632
58,56.06178305919774,3.1622778892397916,0.0016335004537596214,-0.13294815914832725
59,58.20114863094116,1.5104518897706913,0.0012197755155583868,-0.019431114495205293
60,64.47002456461931,4.752194599679576,0.002347309954679583,0.3999173614488427
61,76.64017866416594,4.643148927480921,0.0024310571704829064,-0.04369020256689282
62,72.05367475873237,4.7341341950953675,0.003112073340438471,0.2238750518301913
63,78.30136161528574,4.130700337192944,0.0033571723822056303,0.2351999306426933
64,79.2345965659407,4.782736259008812,0.003343924360119154,-0.12844800778566423
65,79.0239156699068,4.767128343850848,0.0036886234268917453,0.086776914542952
66,78.93799667916412,4.761139834228457,0.0038260562353490415,-0.019013881580320913
67,78.2551727163012,4.827269517603554,0.003918028364670492,0.038027763160641825
68,79.19246891605141,4.637686192911723,0.004156226224742706,-0.006958842391213693
69,79.30458678781481,4.879267731888066,0.003980534650750835,0.03750622479259391
70,79.6389514060063,4.7116642570352285,0.003969325283557011,0.040676444434950554
71,79.6177177918376,4.782629831664552,0.004161920641067061,0.07354468145592818
72,79.8768751724563,4.843729572771908,0.004405007374552491,-0.10819733553546484
73,80.03782414185606,4.836944063992248,0.004659454599818615,0.06420165288290036
74,80.38291827747638,4.784862936772938,0.0045199420751084254,0.006750225933771503
75,80.71643834663726,4.834061817334671,0.004491824240613835,0.043146313188913155
76,81.8183394591385,4.853587417006383,0.004738346484189122,-0.10516867376964001
77,82.27790655688449,4.673955623141255,0.0045015983822493215,0.021498649527273983
78,84.36784054952649,5.19340673354199,0.004626847544605431,0.012898817569606535
79,84.62998298168853,5.178885013904095,0.005076141960924798,-0.004690140498198048
80,84.42905349865887,5.19123012518801,0.004988054816369439,0.018198043072459313
81,84.83239327516796,5.119518412230047,0.0045321951568704335,-0.04118680951847864
82,84.70687326045847,5.110886913021449,0.004574192514351298,-0.033259390797013566
83,85.10395562163684,5.121430629961612,0.004547507715075501,0.0003464519990337145
84,84.64580280918594,5.1321023275630715,0.004533998528707263,-0.03261491743344891
