episode,rewards,final reward,VL,PL*1e7
0,0.020525994910881806,0.0012987135976345598,7.789289092319381e-05,0.35130977238395644
1,0.1383719215579266,0.0009478446254931328,1.6577808131657974e-05,-0.5465745900323782
2,0.13218705263248964,0.006336038846906256,6.246793763918354e-06,-0.3939270953878804
3,0.08817815107528443,0.0021035122223889147,2.361147708114326e-06,0.31369925324042924
4,0.07725998060043393,0.0008203864851310527,1.6306134376705653e-06,0.0980496395186492
5,1.057524757535914,0.001933998927825975,9.791564785194204e-06,0.027000903735086013
6,1.3075201816882995,0.054872591185713124,6.813782705004213e-06,0.16424991144958767
7,1.2611513840555153,0.0614527040472622,8.532383116623431e-06,-0.011265277599648016
8,0.482010168609478,0.009373160230725652,2.267982670708056e-06,-0.0481605511026828
9,0.9428804648755483,0.0010221684691273936,4.679054200096289e-06,-0.053584576775733694
10,1.2783730365439885,0.015323842712827065,9.237434484550502e-06,-0.001557171336319385
11,3.6520469602400807,0.12061259893115597,1.997817102326021e-05,-0.1453012199448267
12,5.143192024426402,0.0009609241570291971,3.8418063560371434e-05,0.023283064365386963
13,5.592880951896496,0.43968329498126396,3.725802065374306e-05,-0.16748904485552885
14,4.9415429868484875,0.39291476457413665,2.2560881950971345e-05,-0.025041402285097547
15,5.522946236087133,0.33344012251511834,2.5731725179843744e-05,-0.07053092332398592
16,7.108469862966389,0.0021052578949096734,3.5571202750338385e-05,-0.10161102181882598
17,7.009035788163646,0.000597442317172181,3.26604632057671e-05,-0.051617621288357896
18,8.603825637804551,0.29036041839840165,4.173069805513973e-05,-0.10526179927694557
19,8.154957236559627,0.2365382210944626,4.7509726191262263e-05,0.08898228820442
20,5.148688178347733,0.14216345277534415,2.8983018033107363e-05,-0.08250586880365063
21,6.664190005042951,0.32208995926342193,3.941281336872497e-05,0.00014901161901614834
22,7.88964067488163,0.1327278413600741,4.6452509702214255e-05,-0.007711351002193112
23,7.046821634646503,0.2297702411949385,3.1491975646589066e-05,-0.005984329698449642
24,7.126413815136747,0.15439047406146988,3.2913266594836316e-05,-0.0020116568133499158
25,7.497388136675357,0.20112700839532027,4.29777032359543e-05,0.12522935577408134
26,7.6557199679477765,0.25406218405221365,3.4878136715103865e-05,-0.10913610459795109
27,9.122201409468927,0.26921730492284646,3.233565119536493e-05,0.08872151013861185
28,7.094296597991224,0.21453727521093158,2.5474616657309617e-05,-0.14016031890662362
29,8.7466141983663,0.21729042092409429,3.13245837338699e-05,-0.21006911765653058
30,8.990621890482918,0.1293761287569722,3.170767073081865e-05,0.024408102206052718
31,9.557038789696113,0.1975894224668731,3.409833389704994e-05,0.06376206673763818
32,9.262199939259874,0.16117273633138357,3.6099785448422605e-05,-0.08660554939865506
33,10.196095159125523,0.27914632581691073,3.3137750713511284e-05,0.10608555811586484
34,11.222598106579118,0.3250271531877396,3.7012379144022205e-05,-0.040978194171259474
35,11.745606973065257,0.19524413551456027,3.387918891521507e-05,-0.08606910739672458
36,14.011773415665894,0.3570616967883823,4.217153529472991e-05,0.1531243398744664
37,13.43516028265917,0.4894912792204676,4.0815979238825005e-05,0.11802464783272626
38,14.35781275511299,0.24900462419109975,4.887995034746555e-05,-0.07937848600647612
39,14.829349899472493,0.3779768307272303,5.223259322059376e-05,0.040531160649948106
40,15.73011789701888,0.22850458703875554,4.788953124779819e-05,-0.1074075672846675
41,18.325562899536276,0.33417865694830684,5.6196063925671284e-05,0.03853440233569927
42,14.806330974732283,0.2909811857400557,4.00731978400852e-05,-0.01919269632111309
43,12.714290260602377,0.17180209983666403,4.0683127712949086e-05,0.03248453062099088
44,16.25142699316835,0.3353804717874047,4.713949871259075e-05,0.06152689469018924
45,15.414696513899763,0.18232628708424523,5.0535033885433776e-05,-0.026702879907247734
46,15.06005755035264,0.20240170587846712,4.511166314588553e-05,0.019390136163366378
47,16.03954310418205,0.1636942250884284,3.9990631884842216e-05,-0.04774332040824447
48,15.752935664559061,0.3759833204385829,4.4501254602506334e-05,-0.04610419157557999
49,15.077266892827309,0.22026134565482264,4.072543648546827e-05,-0.02996251025066954
50,16.872171806167096,0.37143339765417427,3.751359529619376e-05,0.09142234524972537
51,16.611147083069007,0.17254444816710934,4.894105362077022e-05,-0.023037194374353476
52,16.404474094061513,0.27048532832656674,4.135574656888648e-05,-0.015817582799115826
53,17.82015395782904,0.4618574168664735,4.803119923111163e-05,0.05702301741905558
54,17.054146650540073,0.1732185191676828,4.8789080590469455e-05,-0.060640275023615686
55,18.52551405290029,0.2226069322730128,4.94182196131147e-05,-0.0400543198608716
56,19.371319183050943,0.29345824188516295,3.837834490788069e-05,-0.03960728633956023
57,19.60265282934873,0.4948456833713727,4.1946457345090226e-05,0.046700239231256546
58,20.581290819820108,0.554766073632756,4.66300140562706e-05,0.12267380888886237
59,21.4547359418752,1.179865855843918,4.359200058296423e-05,-0.1436173935331908
60,23.057219801850096,1.2842015685422656,3.920111567488594e-05,0.22131205312803104
61,23.579437826211613,0.24076678270174412,3.892256008148712e-05,-0.10949372963864334
62,21.727328003684832,0.7355269012372965,3.514873972136816e-05,0.10603666389386035
63,22.10534786979212,0.3366450149468985,3.381701286412817e-05,-0.06127729879068511
64,21.922195998485268,0.5841456519088071,2.9942213344999997e-05,0.00602006888783535
65,24.492994956085994,0.9028778260888068,2.603834043470612e-05,0.13006106414081842
66,24.472090022425096,0.3852807621147397,2.615380467835201e-05,-0.13664364750809455
67,28.607950068428995,1.0230703575887559,3.551083599505327e-05,0.09017437463398892
68,27.868572621551802,0.2601364334852395,3.122797589421219e-05,-0.0008046627253399663
69,26.250787193851494,0.33761040018285093,2.433744575222291e-05,-0.14620646915375346
70,28.263394574207414,0.46699780752451353,2.972123493697226e-05,0.048283488318645595
71,28.493840702093085,0.2435109676701443,3.0791290969951845e-05,0.12233853041720977
72,29.642912707214233,0.5262982479863421,2.4028293709410648e-05,-0.11560320700709781
73,33.74858823654051,0.5588453709786931,3.963290371849567e-05,0.0629033891641484
74,30.597034240529076,0.4871990490929349,3.988257937831068e-05,0.028118491979256532
75,35.96482500821536,0.6001059738632485,3.406341514889817e-05,-0.00738631933394629
76,35.407772865231436,0.18127234697330763,3.887417636788892e-05,-0.11427700563615417
77,34.93448935168121,1.5576166532352553,2.9943922832392708e-05,0.00813603406868424
78,34.08431495670686,0.16886672803464722,3.1089927999139176e-05,-0.012695788864647284
79,37.036434952019356,1.4383719749779764,4.196185637980146e-05,0.024974347034856237
80,42.38976112368001,2.610760364164471,5.761300884772982e-05,0.07321685480121687
81,45.17328745444183,2.9973442952598472,0.00011331871948779644,0.004723668123318703
82,52.699702537008335,1.2483060918437061,0.00012917944640540105,-0.04411581766561312
83,51.83076857175039,3.2002307949629936,0.00010575797138319357,-0.01571327401528322
84,45.87878341530584,3.0597218120451957,0.00010255976165445887,0.020306556436366918
85,57.15012796913715,0.23157429900802454,0.00020616122975885054,0.00022351741985060514
86,55.15105445905522,3.8205209995107685,0.0001559960755106589,0.2333223747541524
87,52.9941259714805,1.1879675452692264,0.0001317289392594646,0.20806490752534046
88,58.29072465081674,3.8455499485472835,0.00013348943696344783,0.16063451013792474
89,62.2934546623262,3.445620468184229,0.00015260469037365267,-0.10564923158540296
90,65.45822320349578,0.9258422752935191,0.0001767335284920925,0.10997056598682775
91,62.024834999467934,1.7770038900314973,0.00011078280354761577,0.25588274610299777
92,65.361300305185,2.6324865665367136,9.565682747834907e-05,-0.3097951406516586
93,62.02927982116227,4.332083235499126,0.00012027338774875912,0.0380873688143879
94,67.05198968508887,4.258085161678917,0.00011014094468320556,0.4350841109612702
95,70.81470937170879,4.180957475729707,0.00011652345180744857,0.21839142050339433
96,74.75313837459461,4.35999998214128,0.0001358337958893721,0.03197789144593344
97,75.74489009766486,4.102946552166795,0.00020983708852522967,-0.11315196779548842
98,77.88488205180575,5.014177662954128,0.000218548384676564,0.07572769966657233
99,78.02310087277449,4.900263984079437,0.00023984753402779644,-0.0188276172430335
100,77.21338597986451,4.993897229327452,0.00015883210663916912,0.17875432689606896
101,76.03606601207723,4.945383606550108,0.00010089918474546675,0.23391843129161316
102,77.09850699968375,3.9087605206616427,0.00016863234012344958,0.022184103443123604
103,81.41135755880939,4.82081287564563,0.00023588278869467587,-0.006566173160749145
104,78.85083173897155,4.61749731532908,0.00012681447518084093,0.2201795545886398
105,75.72343948655401,3.5998282985561607,0.00014667686416113253,0.019614119217692405
106,76.26357131742925,4.82799928471081,6.492833512012009e-05,0.04535913422643034
